what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1316541797266
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1316541797276
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1316541797292
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1316541797304
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1316541797305
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1316541797307
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1316541797320
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1316541797331
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1316541797343
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1316541797366
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1316541797368
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1316541797392
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1316541797417
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1316541797426
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1316541797444
os,sysinfo,,,"win32",1316541797450
arch,sysinfo,,,"x86_64",1316541797450
ws,sysinfo,,,"win32",1316541797450
locale,sysinfo,,,"en_US",1316541797450
processors,sysinfo,,,"2",1316541797450
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316541797450
java.runtime.version,sysinfo,,,"1.7.0-b147",1316541797450
java.specification.name,sysinfo,,,"Java Platform API Specification",1316541797450
java.specification.vendor,sysinfo,,,"Oracle Corporation",1316541797450
java.specification.version,sysinfo,,,"1.7",1316541797450
java.vendor,sysinfo,,,"Oracle Corporation",1316541797450
java.version,sysinfo,,,"1.7.0",1316541797450
java.vm.info,sysinfo,,,"mixed mode",1316541797450
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1316541797450
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316541797450
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1316541797450
java.vm.specification.version,sysinfo,,,"1.7",1316541797450
java.vm.vendor,sysinfo,,,"Oracle Corporation",1316541797450
java.vm.version,sysinfo,,,"21.0-b17",1316541797450
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1316541798493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316541800227
